ShowID,Dealer/Institute Name,Date of Show,Exact Date,Show Title,City Location,Country Location,Single,Catalogue,Dummy Field,Show_Note,Show Title German,Dealer/Institute Name G,City Location G,Country Location G,Order,Web Site,Curator,Display
71,Lia Rumma,1990,,Paesaggio,Naples,Italy,FALSE,FALSE,1,,,,,,77,,,FALSE
72,Whitney Museum of American Art,1989,,Image World: Art and Media Culture,New York,USA,FALSE,TRUE,1,,,,,,77,,,FALSE
73,Wiener Sezession,1989,,Wittgenstein: The Play of the Unsayable,Vienna,Austria,FALSE,TRUE,1,,,,,,77,,,FALSE
74,Palais des Beaux-Arts,1989,,Wittgenstein: The Play of the Unsayable,Brussels,Belgium,FALSE,TRUE,1,,,,,,77,,,FALSE
75,Arti et Amicitiae,1989,,Parallel Views,Amsterdam,Holland,FALSE,TRUE,1,,,,,,77,,,FALSE
76,Studio Guenzani,1989,,None,Milano,Italy,FALSE,FALSE,1,,,,,,77,,,FALSE
77,Galleri Nordanstad - Skarstedt,1989,,None,Stockholm,Sweden,FALSE,FALSE,1,,,,,,77,,,FALSE
78,Musee d'Art Contemporain de Montreal,1989,,Tenir l'Image a Distance,Montreal,Canada,FALSE,TRUE,1,,,,,,77,,,FALSE
79,Galerie Bruges La Morte,1989,,None,Bruges,Belgium,FALSE,FALSE,1,,,,,,77,,,FALSE
80,The Aldrich Museum of Contemporary Art,1989,,Selections from the Collection of Marc and Livia Straus,Ridgefield,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
81,National Museum of American Art,1989,,The Photography of Invention: American Pictures of the 1980s,Washington,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
82,Annina Nosei Gallery,1981,,None,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
83,Travelling exhibition (Missouri),1989,,The Modernist Still Life Photographed,Missouri,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
84,Jay Gorney Modern Art,1988,,None,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
85,Tiroler Landesgalerie,1988,,Locations,Innsbruck,Austria,FALSE,FALSE,1,,,,,,77,,,FALSE
86,Chateau d'Orion,1988,,Meltem,?,France,FALSE,FALSE,1,,,,,,77,,,FALSE
87,Magasin,1988,,Meltem,Grenoble,France,FALSE,FALSE,1,,,,,,77,,,FALSE
88,The Ringling Museum of Art,1988,,This is not a photograph,Sarasota,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
89,The Haggerty Museum of Art,1988,,Photography on the Edge,Milwaukee,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
90,I.C.P.,1988,,Two to Tango: Collaboration inRecent American photography,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
91,Musee d'Art Contemporain,1988,,Collection pour une Region,Bordeaux,France,FALSE,FALSE,1,,,,,,77,,,FALSE
92,Centre Georges Pompidou,1988,,?,Paris,France,FALSE,FALSE,1,,,,,,77,,,FALSE
93,Musee St. Pierre,1988,,Contemporary Photographic Portraiture,Lyon,France,FALSE,FALSE,1,,,,,,77,,,FALSE
94,Padiglione d'Arte Contemporanea,1988,,Presi Per Incantamento,Milan,Spain,FALSE,TRUE,1,,,,,,77,,,FALSE
95,Galerie Nacht St. Stephan,1988,,?,Vienna,Italy,FALSE,FALSE,1,,,,,,77,,,FALSE
96,Cable Gallery,1988,,Selections from the Collection of Aart de Jong,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
97,Damon Brandt Gallery,1988,,Selections from XVT,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
98,Knight Gallery,1988,,Romance,Charlotte,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
99,Margo Leavin Gallery,1988,,Nothing Sacred,Los Angeles,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
100,Documenta 8 Kassel,1988,,The Castle,Kassel,Germany,FALSE,FALSE,1,,,,,,77,,,FALSE
101,Hoffman Borman Gallery,1988,,The New Who's Who,Los Angeles,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
102,Annina Nosei Gallery,1988,,?,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
103,First Street Forum,1988,,Beyond The Image,St. Louis,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
104,Whitney Museum of American Art,1988,,The New Romantic Landscape,Stamford,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
105,Galerie Charles Cartwright,1988,,?,Paris,France,FALSE,FALSE,1,,,,,,77,,,FALSE
106,Jay Gorney Modern Art,1987,,Art Against AIDS,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
107,Whitney Museum of American Art,1987,,Biennial Exhibition,New York,USA,TRUE,FALSE,1,,,,,,77,,,FALSE
108,The New Museum of Contemporary Art,1987,,Fake,New York,USA,TRUE,FALSE,1,,,,,,77,,,FALSE
109,Galerie Dürr,1987,,Der Reine Alltag,Munich,Germany,TRUE,FALSE,1,,,,,,77,,,FALSE
110,Nexus Contemporary Arts Center,1987,,Modern Art Since 1984,Atlanta,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
111,Galerie Bismarckstrasse,1986,,(with James Casebere and Ken Lum),Cologne,Germany,FALSE,FALSE,1,,,,,,77,,,FALSE
112,Kunstverein,1986,,Prospect '86,Frankfurt,Germany,FALSE,TRUE,1,,,,,,77,,,FALSE
113,Queens Museum,1986,,The Real Big Picture,New York,USA,FALSE,TRUE,1,,,,,,77,,,FALSE
114,Castel Dell'Ovo,1986,,Rooted Rhetoric,Naples,France,FALSE,TRUE,1,,,,,,77,,,FALSE
115,"Livet Reichard Co. Inc., and Nature Morte",1985,,Infotainment,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
116,Texas Gallery,1985,,Infotainment,Houston,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
117,Rhona Hoffman Gallery,1985,,Infotainment,Chicago,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
118,Vanguard Gallery,1985,,Infotainment,Philadelphia,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
119,Aspen Art Museum,1985,,?,Aspen,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
120,Nature Morte,1985,,?,New York,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
121,Cologne Art Fair,1985,,The Appearance of Objectivity,Cologne,Germany,FALSE,FALSE,1,,,,,,77,,,FALSE
122,Philip Nelson,1985,,Transient Object,Lyon,France,FALSE,FALSE,1,,,,,,77,,,FALSE
123,Württenbergischer Kunstverein,1984,,The Self-Portrait in Photography,Stuttgart,Germany,FALSE,FALSE,1,,,,,,77,,,FALSE
125,Kunstverein in Hamburg,1993,,The Open Public Library,Hamburg,Germany,TRUE,FALSE,1,,,,,,77,,,FALSE
126,Kunstverein in Hamburg,1993,,Back Stage,Hamburg,Germany,FALSE,TRUE,1,,,,,,77,,,FALSE
127,Firminy,1993,,Project Unité,Firminy,France,FALSE,FALSE,1,,,,,,77,,,FALSE
128,The Jewish Museum,1993,,"From the Inside Out, Eight Contemporary Artists",New York,USA,FALSE,TRUE,1,,,,,,77,,,FALSE
131,new Gallery,1984,,,New York,,FALSE,FALSE,1,,,,,,77,,,FALSE
132,Ezra and Cecile Zilkha Gallery,1992,,"Multiple Exposure, The Group Portrait in Photography",New York,USA,FALSE,TRUE,1,,,,,,77,,,FALSE
133,Rena Bransten Gallery,1993,,Gesture and Nuance: the Photographic Portrait,San Francisco,USA,FALSE,FALSE,1,,,,,,77,,,FALSE
134,Christian Nagel Gallery,1994,,Vérité,Cologne,Germany,TRUE,FALSE,1,,,Galerie Christian Nagel,,,77,,www.galerie-nagel.de/,FALSE
136,The Chase Manhattan Collection,1993,,Photo Play,Traveling Exhib.,Traveling Exhib.,FALSE,TRUE,1,,,,,,77,,,FALSE
137,Kunstraum Lüneburg,1994,,The Transformation of Data into Portraits,Lüneburg,Germany,TRUE,FALSE,1,,,,,,77,,,FALSE
138,Landesmusuem Mainz,1994,,"The Open Public Library, Mainz",Mainz,Germany,TRUE,FALSE,1,,Die offene Bibliothek Mainz,Landesmuseum Mainz,Mainz,,77,,,FALSE
139,New School for Social Research,1995,,Breaking Down the Boundaries to Life,New York,USA,TRUE,FALSE,2,One day event,Breaking Down the Boundaries to Life,New School for Social Research,New York,USA,77,,,FALSE
140,Fundação de Serralves (Museu Nacional de Arte Moderna),1995,,Noah’s Ark,Porto,Portugal,FALSE,FALSE,2,,Noah’s Ark,Fundação de Serralves (Museu Nacional de Arte Moderna),,Portugal,77,www.serralves.com,,FALSE
141,American Fine Arts,1995,,Mapping,New York,USA,FALSE,FALSE,1,,Mapping,American Fine Arts,New York,USA,77,,,FALSE
142,MIT List Visual Art Center,1995,,The Masculine Masquerade,Cambridge,USA,FALSE,FALSE,1,,The Masculine Masquerade,MIT List Visual Art Center,Cambridge,USA,77,,"Andrew Perchuk, Helaine Posner",FALSE
143,Emi Fontana Gallery,1995,,This is not a picture,Milan,Italy,FALSE,FALSE,1,,This is not a picture,Galleria Emi Fontana,Mailand,,77,,,FALSE
144,Margo Leavin Gallery,1995,,Untitled Reading Room,Los Angeles,USA,FALSE,FALSE,1,,Untitled Reading Room,Margo Leavin Gallery,Los Angeles,USA,77,,,FALSE
145,Christian Nagel Gallery,1995,,"Editionen, Multiples, Videos",Cologne,,FALSE,FALSE,1,,"Editionen, Multiples, Videos",Galerie Christian Nagel,Köln,,77,,www.galerie-nagel.de/,FALSE
146,DG Bank,1995,,The Museum of the Workplace,Frankfurt,Germany,TRUE,TRUE,1,,The Museum of the Workplace,DG Bank,Frankfurt,,77,,,FALSE
147,Venice Bienalle 46,1995,,"Identity and alterity, figures of the body 1895/1995",Venice,Italy,FALSE,TRUE,2,Vérité,Identità e Alterità,XLVI Biennale di Venezia,Venedig,,77,http://www.iniva.org/library/resource/3980,"Cathrin Pichler, Jean Clair",FALSE
